title,parent_task,max_xp
C2_s21_stringplus,,500
C3_SimpleBashUtils,C2_s21_stringplus,250
C4_s21_math,C2_s21_stringplus,300
C5_s21_decimal,C3_SimpleBashUtils,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
D01_Linux,C3_SimpleBashUtils,300
D02_LinuxNetwork,D01_Linux,250
D03_LinuxMonitoring_v1.0,D02_LinuxNetwork,350
D04_LinuxMonitoring_v2.0,D03_LinuxMonitoring_v1.0,350
D05_SimpleDocker,D03_LinuxMonitoring_v1.0,300
D06_CICD,D05_SimpleDocker,300
CPP1_s21_matrixplus,C8_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrixplus,350
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP5_3DViewer_v2.1,CPP4_3DViewer_v2.0,600
CPP6_3DViewer_v2.2,CPP4_3DViewer_v2.0,800
CPP7_MLP,CPP4_3DViewer_v2.0,700
CPP8_PhotoLab_v1.0,CPP4_3DViewer_v2.0,450
CPP9_MonitoringSystem,CPP4_3DViewer_v2.0,900
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300
A4_Crypto,A3_Parallels,350
A5_s21_memory,A3_Parallels,400
A6_Transactions,A3_Parallels,700
A7_DNA_Analyzer,A3_Parallels,800
SQL1,CPP4_3DViewer_v2.0,1500
SQL2_Info21_v1.0,SQL1,500
SQL3_RetailAnalitycs_v1.0,SQL2_Info21_v1.0,600
